Word	IPA transcription
съюз	s ə j u s
свързани	s v ə r z a n i
проблемите	p r o b l e m i t e
ромската	r o m s k a t ɐ
общност	o p ʃ t n o s t
изтъкна	i s t ə k n ɐ
още	o ʃ t e
Чаки	t ʃ a k i
ясно	j a s n o
кои	k o i
певци	p e f t s i
кого	k o ɡ o
пеят	p e j ɐ t
песните	p e s n i t e
са	s a
същите	s ə ʃ t i t e
лицата	l i t s a t ɐ
заедно	z a e d n o
така	t a k ɐ
всяка	f ʃ a k ɐ
друга	d r u ɡ ɐ
област	o b ɫ ɐ s t
икономиката	i k o n o m i k a t ɐ
ако	a k o
мине	m i n e
ще	ʃ t e
приключи	p r i k l u t ʃ i
ерата	e r a t ɐ
синята	s i ɲ a t ɐ
червената	t ʃ e r v e n a t ɐ
хартийка	x a r t i j k ɐ
епичните	e p i t ʃ n i t e
битки	b i t k i
кой	k o j
грабне	ɡ r a b n e
зелената	z e l e n a t ɐ
тя	tʲ a
отнася	o t n a ʃ ɐ
простичкия	p r o s t i t ʃ k i j ɐ
факт	f a k t
досиетата	d o s i e t a t ɐ
картончетата	k ɐ r t o n t ʃ e t a t ɐ
информация	i n f o r m a t s i ɐ
свързана	s v ə r z a n ɐ
конкретни	k o n k r e t n i
лица	l i t s ɐ
далеч	d a l e t ʃ
най-важното	n a j v a ʒ n o t o
толкова	t o ɫ k o v ɐ
много	m n o ɡ o
артисти	a r t i s t i
избиране	i z b i r a n e
триизмерно	t r i i z m e r n o
лого	ɫ o ɡ o
БТА	p t a
под	p o t
формата	f o r m a t ɐ
модел	m o d e ɫ
земното	z e m n o t o
кълбо	k ə ɫ b o
висок	v i s o k
над	n a t
два	d v a
метра	m e t r ɐ
монтираха	m o n t i r a x ɐ
зала	z a ɫ ɐ
три	t r i
националния	n ɐ t s i o n a ɫ n i j ɐ
дворец	d v o r e t s
културата	k u ɫ t u r a t ɐ
предвидени	p r e d v i d e n i
съвместни	s ə v m e s t n i
начинания	n ɐ t ʃ i n a n i j ɐ
обучение	o b u t ʃ e n i e
както	k a k t o
възложителите	v ə z ɫ o ʒ i t e l i t e
изпълнителите	i s p ə ɫ n i t e l i t e
обществени	o p ʃ t e s t v e n i
поръчки	p o r ə t ʃ k i
ние	n i e
организираме	o r ɡ ɐ n i z i r a m e
кампанията	k ɐ m p ɐ n i j a t ɐ
сами	s a m i
участва	u t ʃ a s t v ɐ
информационен	i n f o r m ɐ t s i o n e n
щанд	ʃ t a n t
двадесет	d v a d e s e t
квадратни	k v a d r a t n i
организиран	o r ɡ ɐ n i z i r ɐ n
Агенцията	ɐ ɡ e n t s i j a t ɐ
туризъм	t u r i z ə m
по-точно	p o t o t ʃ n o
точка	t o t ʃ k ɐ
втора	f t o r ɐ
споразумението	s p o r ɐ z u m e n i e t o
между	m e ʒ d u
Българската	b ə ɫ ɡ a r s k a t ɐ
асоциация	ɐ s o t s i a t s i ɐ
информационни	i n f o r m ɐ t s i o n n i
Министерството	m i n i s t e r s t v o t o
транспорта	t r a n s p o r t ɐ
записано	z ɐ p i s a n o
двадесети	d v ɐ d e s e t i
януари	j ɐ n u a r i
две	d v e
хиляди	ʃ i l a d i
пета	p e t ɐ
година	ɡ o d i n ɐ
сформира	s f o r m i r ɐ
такава	t a k a v ɐ
група	ɡ r u p ɐ
част	t ʃ a s t
провеждащото	p r o v e ʒ d a ʃ t o t o
Пловдив	p ɫ o v d i f
Международно	m e ʒ d u n a r o d n o
финансово	f i n a n s o v o
изложение	i z ɫ o ʒ e n i e
банки	b a n k i
инвестиции	i n v e s t i t s i i
пари	p a r i
те	t e
подписали	p o t p i s a l i
договора	d o ɡ o v o r ɐ
например	n a p r i m e r
наеме	n a e m e
наш	n a ʃ
фотограф	f o t o ɡ r a f
цената	t s e n a t ɐ
зараза	z a r a z ɐ
обаче	o b a t ʃ e
бива	b i v ɐ
бъде	b ə d e
плащана	p ɫ a ʃ t a n ɐ
пет	p e t
невинни	n e v i n n i
българки	b ə ɫ ɡ a r k i
палестинец	p ɐ l e s t i n e t s
подчерта	p o t t ʃ e r t ɐ
евродепутатът	e v r o d e p u t a t ə t
но	n o
сега	s e ɡ ɐ
обидените	o b i d e n i t e
прибалтийци	p r i b a ɫ t i j t s i
бяха	bʲ a x ɐ
подкрепени	p o t k r e p e n i
заместник-председателя	z a m e s t n i k p r e t s e d a t e l ɐ
Еврокомисията	e v r o k o m i s i j a t ɐ
Гюнтер	ɡʲ u n t e r
Ферхойген	f e r x o j ɡ e n
разочарованието	r ɐ z o t ʃ ɐ r o v ɐ n i e t o
революцията	r e v o l u t s i j a t ɐ
лалетата	ɫ ɐ l e t a t ɐ
Киргизстан	k i r ɡ i s s t ɐ n
вероятно	v e r o j a t n o
американските	ɐ m e r i k a n s k i t e
експерти	e k s p e r t i
обърнат	o b ə r n ɐ t
внимание	v n i m a n i e
Азербайджан	ɐ z e r b a j d ʒ ɐ n
който	k o j t o
опитва	o p i t v ɐ
води	v o d i
сложна	s ɫ o ʒ n ɐ
игра	i ɡ r ɐ
около	o k o ɫ o
нефтените	n e f t e n i t e
ресурси	r e s u r s i
Каспийския	k ɐ s p i j s k i j ɐ
шелф	ʃ e ɫ f
Вашингтон	v a ʃ i n k t o n
намеси	n a m e s i
Софийската	s o f i j s k a t ɐ
районна	r a j o n n ɐ
прокуратура	p r o k u r a t u r ɐ
изиска	i z i s k ɐ
Столичната	s t o l i t ʃ n a t ɐ
община	o p ʃ t i n ɐ
договорите	d o ɡ o v o r i t e
концесионерите	k o n t s e s i o n e r i t e
сметището	s m e t i ʃ t e t o
букетът	b u k e t ə t
Путин	p u t i n
двата	d v a t ɐ
тръбопровода	t r ə b o p r o v o d ɐ
постепенно	p o s t e p e n n o
губят	ɡ u bʲ ɐ t
първоначалното	p ə r v o n ɐ t ʃ a ɫ n o t o
стратегическо	s t r ɐ t e ɡ i t ʃ e s k o
значение	z n a t ʃ e n i e
алтернатива	ɐ ɫ t e r n a t i v ɐ
руските	r u s k i t e
енергийни	e n e r ɡ i j n i
коридори	k o r i d o r i
момента	m o m e n t ɐ
винетки	v i n e t k i
купят	k u pʲ ɐ t
граничните	ɡ r ɐ n i t ʃ n i t e
пунктове	p u n k t o v e
тридесет	t r i d e s e t
областни	o b ɫ a s t n i
пътни	p ə t n i
управления	u p r ɐ v l e n i j ɐ
типично	t i p i t ʃ n o
български	b ə ɫ ɡ a r s k i
срещата	s r e ʃ t a t ɐ
стана	s t a n ɐ
крив	k r i f
прав	p r a f
той	t o j
донесе	d o n e s e
една	e d n ɐ
добра	d o b r ɐ
сегашните	s e ɡ a ʃ n i t e
управляващи	u p r ɐ v l a v a ʃ t i
новина	n o v i n ɐ
лоша	ɫ o ʃ ɐ
бъдещите	b ə d e ʃ t i t e
човекът	t ʃ o v e k ə t
продаде	p r o d a d e
Йерусалим	j e r u s a l i m
при	p r i
рафинирането	r ɐ f i n i r a n e t o
тон	t o n
нея	n e j ɐ
получавали	p o ɫ u t ʃ a v a l i
деветстотин	d e v e t s t o t i n
килограма	k i ɫ o ɡ r a m ɐ
бяла	bʲ a ɫ ɐ
захар	z a x a r
което	k o e t o
прави	p r a v i
деветдесет	d e v e d d e s e t
процента	p r o t s e n t ɐ
рандеман	r ɐ n d e m a n
поне	p o n e
веднъж	v e d n ə ʃ
месечно	m e s e t ʃ n o
няколко	ɲ a k o ɫ k o
години	ɡ o d i n i
насам	n a s ɐ m
отправяме	o t p r a vʲ a m e
питане	p i t a n e
кмета	k m e t ɐ
какво	k a k v o
случва	s ɫ u t ʃ v ɐ
със	s ə s
дали	d a l i
проект	p r o e k t
изграждане	i z ɡ r a ʒ d a n e
завод	z a v o t
преработване	p r e r ɐ b o t v a n e
твърди	t v ə r d i
отпадъци	o t p a d ə t s i
получаваме	p o ɫ u t ʃ a v a m e
отговор	o d ɡ o v o r
случката	s ɫ u t ʃ k a t ɐ
Рустави-две	r u s t a v i d v e
седмици	s e d m i t s i
източник	i s t o t ʃ n i k
РИА	r i ɐ
Новости	n o v o s t i
пусна	p u s n ɐ
Белград	b e ɫ ɡ r ɐ t
неизвестна	n e i z v e s t n ɐ
епидемия	e p i d e m i j ɐ
вярно	vʲ a r n o
водата	v o d a t ɐ
която	k o j a t o
отделя	o d d e l ɐ
съдържал	s ə d ə r ʒ ɐ ɫ
стронций	s t r o n t s i j
Йорданов	j o r d a n o f
насочи	n a s o t ʃ i
българската	b ə ɫ ɡ a r s k a t ɐ
следа	s l e d ɐ
най-големите	n a j ɡ o l e m i t e
изграждат	i z ɡ r a ʒ d ɐ t
национални	n ɐ t s i o n a ɫ n i
мрежи	m r e ʒ i
зоната	z o n a t ɐ
отговорност	o d ɡ o v o r n o s t
четвъртия	t ʃ e t v ə r t i j ɐ
батальон	b ɐ t a l o n
гастролират	ɡ ɐ s t r o l i r ɐ t
терористични	t e r o r i s t i t ʃ n i
групировки	ɡ r u p i r o f k i
реформата	r e f o r m a t ɐ
крайно	k r a j n o
необходима	n e o p x o d i m ɐ
гарантира	ɡ ɐ r a n t i r ɐ
разполага	r ɐ s p o ɫ a ɡ ɐ
законови	z ɐ k o n o v i
инструменти	i n s t r u m e n t i
пълното	p ə ɫ n o t o
прилагане	p r i ɫ a ɡ a n e
принципите	p r i n t s i p i t e
правовата	p r ɐ v o v a t ɐ
държава	d ə r ʒ a v ɐ
успешната	u s p e ʃ n a t ɐ
борба	b o r b ɐ
организираната	o r ɡ ɐ n i z i r a n a t ɐ
престъпност	p r e s t ə p n o s t
корупцията	k o r u p t s i j a t ɐ
вече	v e t ʃ e
падна	p a d n ɐ
първата	p ə r v a t ɐ
му	m u
жертва	ʒ e r t v ɐ
синодът	s i n o d ə t
Йерусалимската	j e r u s ɐ l i m s k a t ɐ
православна	p r ɐ v o s ɫ a v n ɐ
църква	t s ə r k v ɐ
свали	s v a l i
Ириней	i r i n e j
първи	p ə r v i
патриаршеския	p ɐ t r i ɐ r ʃ e s k i j ɐ
престол	p r e s t o ɫ
това	t o v ɐ
мнение	m n e n i e
изкристализира	i s k r i s t ɐ l i z i r ɐ
дебата	d e b a t ɐ
журналисти	ʒ u r n a l i s t i
попизпълнители	p o p i s p ə ɫ n i t e l i
продуценти	p r o d u t s e n t i
четири	t ʃ e t i r i
сценария	s t s e n a r i ɐ
все	f s e
пак	p a k
Григоров	ɡ r i ɡ o r o f
пропусна	p r o p u s n ɐ
нарече	n a r e t ʃ e
демонстрация	d e m o n s t r a t s i ɐ
сила	s i ɫ ɐ
простотия	p r o s t o t i j ɐ
незаконност	n e z a k o n n o s t
акцията	ɐ k t s i j a t ɐ
понеделник	p o n e d e ɫ n i k
прокуратурата	p r o k u r ɐ t u r a t ɐ
изнесе	i z n e s e
деловодството	d e ɫ o v o t s t v o t o
Окръжния	o k r ə ʒ n i j ɐ
съд	s ə t
Френското	f r e n s k o t o
издание	i z d a n i e
посочва	p o s o t ʃ v ɐ
според	s p o r e t
икономическите	i k o n o m i t ʃ e s k i t e
показатели	p o k ɐ z a t e l i
Хърватия	x ə r v a t i j ɐ
трябваше	t rʲ a b v a ʃ e
присъединила	p r i s ə e d i n i ɫ ɐ
оглед	o ɡ l e t
по-високите	p o v i s o k i t e
доходи	d o x o d i
страната	s t r a n a t ɐ
сравнение	s r a v n e n i e
Румъния	r u m ə n i j ɐ
Турция	t u r t s i j ɐ
Костов	k o s t o f
ни	n i
премиер	p r e m i e r
то	t o
пострада	p o s t r a d ɐ
същото	s ə ʃ t o t o
важи	v a ʒ i
жителите	ʒ i t e l i t e
Девня	d e v ɲ ɐ
Камено	k a m e n o
прочие	p r o t ʃ i e
петдесет	p e d d e s e t
запитаните	z ɐ p i t a n i t e
аналитичния	ɐ n ɐ l i t i t ʃ n i j ɐ
център	t s e n t ə r
Левада	l e v a d ɐ
подкрепят	p o t k r e pʲ ɐ t
лозунга	ɫ o z u n ɡ ɐ
руснаците	r u s n a t s i t e
а	a
защо	z a ʃ t o
хората	x o r a t ɐ
отвращават	o t v r a ʃ t a v ɐ t
коалициите	k o ɐ l i t s i i t e
типа	t i p ɐ
Орел	o r e ɫ
рак	r a k
щука	ʃ t u k ɐ
Раковски	r a k o f s k i
опасяват	o p a ʃ a v ɐ t
колона	k o ɫ o n ɐ
Командира	k o m a n d i r ɐ
бъдещия	b ə d e ʃ t i j ɐ
парламент	p ɐ r ɫ a m e n t
съгласно	s ə ɡ ɫ a s n o
изменението	i z m e n e n i e t o
Закона	z a k o n ɐ
подпомагане	p o t p o m a ɡ a n e
земеделските	z e m e d e ɫ s k i t e
производители	p r o i z v o d i t e l i
публикувано	p u b l i k u v a n o
брой	b r o j
четиринадесети	t ʃ e t i r i n ɐ d e s e t i
Държавен	d ə r ʒ a v e n
вестник	v e s t n i k
единадесети	e d i n ɐ d e s e t i
февруари	f e v r u a r i
става	s t a v ɐ
пропорционално	p r o p o r t s i o n a ɫ n o
заявените	z ɐ j ɐ v e n i t e
производителите	p r o i z v o d i t e l i t e
количества	k o l i t ʃ e s t v ɐ
най-неочаквано	n a j n e o t ʃ a k v a n o
участниците	u t ʃ ɐ s t n i t s i t e
поискаха	p o i s k a x ɐ
страните	s t r a n i t e
антитерористичната	ɐ n t i t e r o r i s t i t ʃ n a t ɐ
коалиция	k o ɐ l i t s i j ɐ
определят	o p r e d e l ɐ t
срокове	s r o k o v e
изтеглянето	i s t e ɡ l a n e t o
базите	b a z i t e
Централна	t s e n t r a ɫ n ɐ
Азия	a z i j ɐ
отправя	o t p r a vʲ ɐ
такива	t a k i v ɐ
обвинения	o b v i n e n i j ɐ
трябва	t rʲ a b v ɐ
голословен	ɡ o ɫ o s ɫ o v e n
документи	d o k u m e n t i
смята	s mʲ a t ɐ
Пашаев	p a ʃ a e f
застрашено	z ɐ s t r a ʃ e n o
демократичното	d e m o k r ɐ t i t ʃ n o t o
провеждане	p r o v e ʒ d a n e
изборния	i z b o r n i j ɐ
процес	p r o t s e s
перото	p e r o t o
избирателна	i z b i r a t e ɫ n ɐ
комисия	k o m i s i j ɐ
аз	a s
съм	s ə m
единственият	e d i n s t v e n i j ɐ t
занимава	z ɐ n i m a v ɐ
предизборния	p r e d i z b o r n i j ɐ
маркетинг	m a r k e t i n k
ме	m e
смятате	s mʲ a t a t e
чужденец	t ʃ u ʒ d e n e t s
нали	n a l i
сто	s t o
годишната	ɡ o d i ʃ n a t ɐ
партия	p a r t i j ɐ
призна	p r i z n ɐ
абсолютната	ɐ p s o l u t n a t ɐ
изолация	i z o ɫ a t s i ɐ
картите	k a r t i t e
сауна	s a u n ɐ
десет	d e s e t
процедури	p r o t s e d u r i
докато	d o k a t o
едно	e d n o
посещение	p o s e ʃ t e n i e
заплащат	z a p ɫ a ʃ t ɐ t
шест	ʃ e s t
били	b i l i
вложени	v ɫ o ʒ e n i
стари	s t a r i
медиите	m e d i i t e
междувременно	m e ʒ d u v r e m e n n o
агенция	ɐ ɡ e n t s i j ɐ
анализ	a n a l i s
риска	r i s k ɐ
обяви	o bʲ a v i
одобрявали	o d o b rʲ a v a l i
предпочитали	p r e t p o t ʃ i t a l i
партиите	p ɐ r t i i t e
явяват	j a vʲ a v ɐ t
изборите	i z b o r i t e
размива	r a z m i v ɐ
отговорността	o d ɡ o v o r n o s t̪ ɐ
обиден	o b i d e n
случилото	s ɫ u t ʃ i ɫ o t o
Коев	k o e f
заяви	z a j a v i
вероятността	v e r o j a t n o s t̪ ɐ
Новото	n o v o t o
време	v r e m e
направи	n a p r a v i
добри	d o b r i
избори	i z b o r i
Варна	v a r n ɐ
малка	m a ɫ k ɐ
тъй	t ə j
Севлиевски	s e v l i e f s k i
кандидатура	k ɐ n d i d a t u r ɐ
там	t a m
класически	k ɫ a s i t ʃ e s k i
случай	s ɫ u t ʃ ɐ j
когато	k o ɡ a t o
незнание	n e z n a n i e
грешна	ɡ r e ʃ n ɐ
представа	p r e t s t a v ɐ
хора	x o r ɐ
намиращи	n ɐ m i r a ʃ t i
върховете	v ə r x o v e t e
управлението	u p r ɐ v l e n i e t o
струват	s t r u v ɐ t
скъпо	s k ə p o
нацията	n ɐ t s i j a t ɐ
беше	b e ʃ e
гласът	ɡ ɫ a s ə t
статуквото	s t ɐ t u k v o t o
редица	r e d i t s ɐ
въпроси	v ə p r o s i
някои	ɲ a k o i
останат	o s t a n ɐ t
без	b e s
направо	n a p r a v o
риторични	r i t o r i t ʃ n i
зададе	z a d a d e
президентът	p r e z i d e n t ə t
стигнат	s t i ɡ n ɐ t
извода	i z v o d ɐ
огъня	o ɡ ə ɲ ɐ
забранява	z ɐ b r a ɲ a v ɐ
себе	s e b e
подстрекателите	p o t s t r e k ɐ t e l i t e
онези	o n e z i
виждат	v i ʒ d ɐ t
Иран	i r ɐ n
изкупителната	i s k u p i t e ɫ n a t ɐ
ескалацията	e s k a ɫ a t s i ɐ t ɐ
Ирак	i r a k
достигнат	d o s t i ɡ n ɐ t
тези	t e z i
важни	v a ʒ n i
изводи	i z v o d i
Първанов	p ə r v a n o f
Станишев	s t a n i ʃ e f
сигурно	s i ɡ u r n o
водили	v o d i l i
максимата	m a k s i m ɐ t ɐ
древногръцкия	d r e v n o ɡ r ə t s k i j ɐ
мислител	m i s l i t e l
Аристотел	ɐ r i s t o t e ɫ
всичко	f s i t ʃ k o
тече	t e t ʃ e
променя	p r o m e ɲ ɐ
другото	d r u ɡ o t o
тъкмо	t ə k m o
издадената	i z d ɐ d e n a t ɐ
Биг	b i k
Бенк	b e n k
кредитната	k r e d i t n a t ɐ
карта	k a r t ɐ
виза	v i z ɐ
бе	b e
главните	ɡ ɫ a v n i t e
доказателства	d o k ɐ z a t e ɫ s t v ɐ
пред	p r e t
съда	s ə d ɐ
Квашневски	k v a ʃ n e f s k i
бил	b i ɫ
почивка	p o t ʃ i f k ɐ
руския	r u s k i j ɐ
агент	a ɡ e n t
Владимир	v ɫ a d i m i r
Алганов	a ɫ ɡ a n o f
техният	t e x n i j ɐ t
избор	i z b o r
пада	p a d ɐ
Богуслав	b o ɡ u s ɫ ɐ f
Кот	k o t
трето	t r e t o
никак	n i k a k
близкото	b l i s k o t o
минало	m i n a ɫ o
отказват	o t k a z v ɐ t
плащат	p ɫ a ʃ t ɐ t
центъра	t s e n t ə r ɐ
града	ɡ r a d ɐ
впрочем	f p r o t ʃ e m
била	b i ɫ ɐ
доста	d o s t ɐ
многолюдна	m n o ɡ o l u d n ɐ
някъде	ɲ a k ə d e
средата	s r e d a t ɐ
миналия	m i n a l i j ɐ
век	v e k
останала	o s t a n a ɫ ɐ
литературата	l i t e r ɐ t u r a t ɐ
музиката	m u z i k a t ɐ
едва	e d v ɐ
единадесет	e d i n a d e s e t
висшисти	v i s ʃ i s t i
левицата	l e v i t s a t ɐ
следващите	s l e d v a ʃ t i t e
през	p r e s
първа	p ə r v ɐ
очевадно	o t ʃ e v a d n o
социолози	s o t s i o ɫ o z i
грешат	ɡ r e ʃ ɐ t
всеки	f s e k i
носи	n o s i
раницата	r ɐ n i t s a t ɐ
мислят	m i s l ɐ t
направим	n a p r a v i m
дванадесет	d v ɐ n a d e s e t
четиридесет	t ʃ e t i r i d e s e t
седмица	s e d m i t s ɐ
веднага	v e d n a ɡ ɐ
завърна	z a v ə r n ɐ
САЩ	s a ʃ t
подобно	p o d o b n o
СДС	s ə d ə s ə
ръководството	r ə k o v o t s t v o t o
земеделците	z e m e d e ɫ t s i t e
този	t o z i
уикенд	u i k e n t
поиска	p o i s k ɐ
мандат	m a n d a t
преговори	p r e ɡ o v o r i
предизборна	p r e d i z b o r n ɐ
въпреки	v ə p r e k i
победата	p o b e d a t ɐ
социалистите	s o t s i ɐ l i s t i t e
доволни	d o v o ɫ n i
преразпределението	p r e r ɐ s p r e d e l e n i e t o
мандатите	m ɐ n d a t i t e
системата	s i s t e m a t ɐ
донт	d o n t
погна	p o ɡ n ɐ
такъв	t a k ə f
растеж	r a s t e ʃ
възможен	v ə z m o ʒ e n
първо	p ə r v o
чрез	t ʃ r e s
намаляване	n ɐ m ɐ l a v a n e
дела	d e ɫ ɐ
държавата	d ə r ʒ a v a t ɐ
увеличаване	u v e l i t ʃ a v a n e
преотстъпените	p r e o t s t ə p e n i t e
предприемачите	p r e t p r i e m a t ʃ i t e
другите	d r u ɡ i t e
данъкоплатци	d ɐ n ə k o p ɫ a t t s i
производството	p r o i z v o t s t v o t o
основно	o s n o v n o
вина	v i n ɐ
износна	i z n o s n ɐ
насоченост	n ɐ s o t ʃ e n o s t
лидерът	l i d e r ə t
присъщо	p r i s ə ʃ t o
обърна	o b ə r n ɐ
работа	r a b o t ɐ
зает	z a e t
праща	p r a ʃ t ɐ
царската	t s a r s k a t ɐ
лотария	ɫ o t a r i ɐ
чак	t ʃ a k
отдавна	o d d a v n ɐ
съветът	s ə v e t ə t
министрите	m i n i s t r i t e
реши	r e ʃ i
разговорите	r ɐ z ɡ o v o r i t e
получи	p o ɫ u t ʃ i
официално	o f i t s i a ɫ n o
статут	s t a t u t
кандидатка	k ɐ n d i d a t k ɐ
хиляда	ʃ i l a d ɐ
девета	d e v e t ɐ
започнат	z a p o t ʃ n ɐ t
трети	t r e t i
октомври	o k t o m v r i
редник	r e d n i k
Гърди	ɡ ə r d i
Гърдев	ɡ ə r d e f
контингент	k o n t i n ɡ e n t
всъщност	f s ə ʃ t n o s t
голямата	ɡ o l a m a t ɐ
опасност	o p a s n o s t
загубата	z ɐ ɡ u b a t ɐ
сигурни	s i ɡ u r n i
стабилни	s t a b i ɫ n i
пазари	p a z a r i
заместник-министрите	z a m e s t n i k m i n i s t r i t e
регионалното	r e ɡ i o n a ɫ n o t o
развитие	r ɐ z v i t i e
отбраната	o d b r a n a t ɐ
земеделието	z e m e d e l i e t o
Петя	p e tʲ ɐ
Гегова	ɡ e ɡ o v ɐ
Илко	i ɫ k o
Димитров	d i m i t r o f
Бойко	b o j k o
Боев	b o e f
иначе	i n a t ʃ e
предните	p r e d n i t e
позиции	p o z i t s i i
листите	l i s t i t e
няма	ɲ a m ɐ
станат	s t a n ɐ t
депутати	d e p u t a t i
моите	m o i t e
права	p r a v ɐ
нарушени	n ɐ r u ʃ e n i
кметът	k m e t ə t
набеляза	n ɐ b e l a z ɐ
основните	o s n o v n i t e
насоки	n a s o k i
общината	o p ʃ t i n a t ɐ
популяризирането	p o p u l ɐ r i z i r a n e t o
градския	ɡ r a t s k i j ɐ
морската	m o r s k a t ɐ
столица	s t o l i t s ɐ
Кънев	k ə n e f
съсобственик	s ə s o p s t v e n i k
инфорадио	i n f o r a d i o
куп	k u p
дружества	d r u ʒ e s t v ɐ
депутат	d e p u t a t
ямболската	j ɐ m b o ɫ s k a t ɐ
листа	l i s t ɐ
двамата	d v a m a t ɐ
държат	d ə r ʒ ɐ t
по-професионално	p o p r o f e s i o n a ɫ n o
наистина	n ɐ i s t i n ɐ
пътуващите	p ə t u v a ʃ t i t e
българи	b ə ɫ ɡ a r i
пускани	p u s k a n i
зад	z a t
граница	ɡ r a n i t s ɐ
АФИС	a f i s
живее	ʒ i v e e
позитано	p o z i t a n o
такова	t a k o v ɐ
нещо	n e ʃ t o
традиционно	t r ɐ d i t s i o n n o
мобилизирания	m o b i l i z i r a n i j ɐ
електорат	e l e k t o r ɐ t
левите	l e v i t e
прибави	p r i b a v i
по-младо	p o m ɫ a d o
ядро	j a d r o
Асоциацията	ɐ s o t s i a t s i ɐ t ɐ
автобусните	ɐ f t o b u s n i t e
превозвачи	p r e v o z v a t ʃ i
представена	p r e t s t a v e n ɐ
председателя	p r e t s e d a t e l ɐ
Ивайло	i v a j ɫ o
Константинов	k o n s t a n t i n o f
заявиха	z ɐ j a v i x ɐ
Кеш	k e ʃ
скорошни	s k o r o ʃ n i
фалити	f a l i t i
фирми	f i r m i
международен	m e ʒ d u n a r o d e n
транспорт	t r a n s p o r t
политикът	p o l i t i k ə t
дава	d a v ɐ
парите	p a r i t e
интересува	i n t e r e s u v ɐ
истината	i s t i n a t ɐ
държи	d ə r ʒ i
внуши	v n u ʃ i
аудиторията	ɐ u d i t o r i j a t ɐ
определени	o p r e d e l e n i
неща	n e ʃ t ɐ
някой	ɲ a k o j
кажеше	k a ʒ e ʃ e
седесарите	s e d e s a r i t e
зимата	z i m a t ɐ
седма	s e d m ɐ
парламентарните	p ɐ r ɫ ɐ m e n t a r n i t e
